method,gt_instance_id,frame_id,gt_index,video,target_frame,metadata_frame,timestamp,quality_group,class_id,class,raw_detected,tracked_detected,raw_confidence,tracked_confidence,track_id,missed_frames_before_target,persisted_at_target,outcome,model,confidence_threshold
botsort_persist_5,video1/v01_20-16_f00108_t03.63_moderate_blur/gt000,video1/v01_20-16_f00108_t03.63_moderate_blur,0,video1,103,00108,03.63,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_5,video1/v01_20-16_f00108_t03.63_moderate_blur/gt001,video1/v01_20-16_f00108_t03.63_moderate_blur,1,video1,103,00108,03.63,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_5,video1/v01_20-16_f00108_t03.63_moderate_blur/gt002,video1/v01_20-16_f00108_t03.63_moderate_blur,2,video1,103,00108,03.63,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_5,video1/v01_20-16_f00108_t03.63_moderate_blur/gt003,video1/v01_20-16_f00108_t03.63_moderate_blur,3,video1,103,00108,03.63,moderate_blur,60,dining table,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack,video1/v01_20-16_f00162_t05.45_moderate_blur/gt000,video1/v01_20-16_f00162_t05.45_moderate_blur,0,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack,video1/v01_20-16_f00162_t05.45_moderate_blur/gt001,video1/v01_20-16_f00162_t05.45_moderate_blur,1,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack,video1/v01_20-16_f00162_t05.45_moderate_blur/gt002,video1/v01_20-16_f00162_t05.45_moderate_blur,2,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack,video1/v01_20-16_f00162_t05.45_moderate_blur/gt003,video1/v01_20-16_f00162_t05.45_moderate_blur,3,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack,video1/v01_20-16_f00162_t05.45_moderate_blur/gt004,video1/v01_20-16_f00162_t05.45_moderate_blur,4,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack,video1/v01_20-16_f00162_t05.45_moderate_blur/gt005,video1/v01_20-16_f00162_t05.45_moderate_blur,5,video1,158,00162,05.45,moderate_blur,60,dining table,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack,video1/v01_20-16_f00162_t05.45_moderate_blur/gt006,video1/v01_20-16_f00162_t05.45_moderate_blur,6,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack,video1/v01_20-16_f00162_t05.45_moderate_blur/gt007,video1/v01_20-16_f00162_t05.45_moderate_blur,7,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt000,video1/v01_20-16_f00162_t05.45_moderate_blur,0,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt001,video1/v01_20-16_f00162_t05.45_moderate_blur,1,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt002,video1/v01_20-16_f00162_t05.45_moderate_blur,2,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt003,video1/v01_20-16_f00162_t05.45_moderate_blur,3,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt004,video1/v01_20-16_f00162_t05.45_moderate_blur,4,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt005,video1/v01_20-16_f00162_t05.45_moderate_blur,5,video1,158,00162,05.45,moderate_blur,60,dining table,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt006,video1/v01_20-16_f00162_t05.45_moderate_blur,6,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt007,video1/v01_20-16_f00162_t05.45_moderate_blur,7,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt000,video1/v01_20-16_f00162_t05.45_moderate_blur,0,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt001,video1/v01_20-16_f00162_t05.45_moderate_blur,1,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt002,video1/v01_20-16_f00162_t05.45_moderate_blur,2,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt003,video1/v01_20-16_f00162_t05.45_moderate_blur,3,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt004,video1/v01_20-16_f00162_t05.45_moderate_blur,4,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt005,video1/v01_20-16_f00162_t05.45_moderate_blur,5,video1,158,00162,05.45,moderate_blur,60,dining table,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt006,video1/v01_20-16_f00162_t05.45_moderate_blur,6,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt007,video1/v01_20-16_f00162_t05.45_moderate_blur,7,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur/gt000,video1/v01_20-16_f00162_t05.45_moderate_blur,0,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur/gt001,video1/v01_20-16_f00162_t05.45_moderate_blur,1,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur/gt002,video1/v01_20-16_f00162_t05.45_moderate_blur,2,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur/gt003,video1/v01_20-16_f00162_t05.45_moderate_blur,3,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur/gt004,video1/v01_20-16_f00162_t05.45_moderate_blur,4,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur/gt005,video1/v01_20-16_f00162_t05.45_moderate_blur,5,video1,158,00162,05.45,moderate_blur,60,dining table,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur/gt006,video1/v01_20-16_f00162_t05.45_moderate_blur,6,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
bytetrack_persist_5,video1/v01_20-16_f00162_t05.45_moderate_blur/gt007,video1/v01_20-16_f00162_t05.45_moderate_blur,7,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort,video1/v01_20-16_f00162_t05.45_moderate_blur/gt000,video1/v01_20-16_f00162_t05.45_moderate_blur,0,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort,video1/v01_20-16_f00162_t05.45_moderate_blur/gt001,video1/v01_20-16_f00162_t05.45_moderate_blur,1,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort,video1/v01_20-16_f00162_t05.45_moderate_blur/gt002,video1/v01_20-16_f00162_t05.45_moderate_blur,2,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort,video1/v01_20-16_f00162_t05.45_moderate_blur/gt003,video1/v01_20-16_f00162_t05.45_moderate_blur,3,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort,video1/v01_20-16_f00162_t05.45_moderate_blur/gt004,video1/v01_20-16_f00162_t05.45_moderate_blur,4,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort,video1/v01_20-16_f00162_t05.45_moderate_blur/gt005,video1/v01_20-16_f00162_t05.45_moderate_blur,5,video1,158,00162,05.45,moderate_blur,60,dining table,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort,video1/v01_20-16_f00162_t05.45_moderate_blur/gt006,video1/v01_20-16_f00162_t05.45_moderate_blur,6,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort,video1/v01_20-16_f00162_t05.45_moderate_blur/gt007,video1/v01_20-16_f00162_t05.45_moderate_blur,7,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt000,video1/v01_20-16_f00162_t05.45_moderate_blur,0,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt001,video1/v01_20-16_f00162_t05.45_moderate_blur,1,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt002,video1/v01_20-16_f00162_t05.45_moderate_blur,2,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt003,video1/v01_20-16_f00162_t05.45_moderate_blur,3,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt004,video1/v01_20-16_f00162_t05.45_moderate_blur,4,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt005,video1/v01_20-16_f00162_t05.45_moderate_blur,5,video1,158,00162,05.45,moderate_blur,60,dining table,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt006,video1/v01_20-16_f00162_t05.45_moderate_blur,6,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_1,video1/v01_20-16_f00162_t05.45_moderate_blur/gt007,video1/v01_20-16_f00162_t05.45_moderate_blur,7,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt000,video1/v01_20-16_f00162_t05.45_moderate_blur,0,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt001,video1/v01_20-16_f00162_t05.45_moderate_blur,1,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt002,video1/v01_20-16_f00162_t05.45_moderate_blur,2,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt003,video1/v01_20-16_f00162_t05.45_moderate_blur,3,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt004,video1/v01_20-16_f00162_t05.45_moderate_blur,4,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt005,video1/v01_20-16_f00162_t05.45_moderate_blur,5,video1,158,00162,05.45,moderate_blur,60,dining table,False,False,,,,,False,still_missed,yolov8n.pt,0.15
botsort_persist_3,video1/v01_20-16_f00162_t05.45_moderate_blur/gt006,video1/v01_20-16_f00162_t05.45_moderate_blur,6,video1,158,00162,05.45,moderate_blur,56,chair,False,False,,,,,False,still_missed,yolov8n.pt,0.15
