model,confidence_threshold,neighbor_offset,frame_id,quality_group,gt_index,class_id,class_name,raw_detected,raw_confidence,gaussian_detected,gaussian_confidence,bilateral_detected,bilateral_confidence,wiener_denoise_detected,wiener_denoise_confidence,wiener_deconv_detected,wiener_deconv_confidence,clahe_detected,clahe_confidence,temporal_fixed_detected,temporal_fixed_confidence,temporal_quality_weighted_detected,temporal_quality_weighted_confidence,any_method_detected,num_methods_detecting,detected_by,unique_rescuer
yolov8n.pt,0.15,1,video1/v01_20-16_f00433_t14.57_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00433_t14.57_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00433_t14.57_severe_blur,severe_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00433_t14.57_severe_blur,severe_blur,3,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00487_t16.39_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00487_t16.39_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00487_t16.39_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00487_t16.39_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00487_t16.39_moderate_blur,moderate_blur,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00541_t18.21_severe_blur,severe_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00541_t18.21_severe_blur,severe_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00541_t18.21_severe_blur,severe_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00541_t18.21_severe_blur,severe_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video1/v01_20-16_f00541_t18.21_severe_blur,severe_blur,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00000_t00.00_clear,clear,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00000_t00.00_clear,clear,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00000_t00.00_clear,clear,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00000_t00.00_clear,clear,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00000_t00.00_clear,clear,4,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
yolov8n.pt,0.15,1,video2/v02_20-18_f00037_t01.23_moderate_blur,moderate_blur,0,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
