model,confidence_threshold,frame_id,video,quality_group,method,class_id,n_gt,raw_detected,raw_tp_count,raw_confidence,method_detected,method_tp_count,method_confidence,outcome
yolov8n.pt,0.15,video3/v03_20-20_f00242_t08.07_severe_blur,video3,severe_blur,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_fixed,0,2,True,2,0.8125,True,2,0.7892,no_change
yolov8n.pt,0.15,video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_fixed,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_fixed,56,4,False,0,,True,1,0.2577,rescued
yolov8n.pt,0.15,video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_fixed,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_quality_weighted,0,2,True,2,0.8125,True,2,0.7848,no_change
yolov8n.pt,0.15,video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_quality_weighted,56,4,False,0,,True,1,0.3139,rescued
yolov8n.pt,0.15,video4/v04_20-21_f00000_t00.00_clear,video4,clear,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_fixed,0,2,True,2,0.8585,True,2,0.7147,confidence_degraded
yolov8n.pt,0.15,video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_fixed,24,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_fixed,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_fixed,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_quality_weighted,0,2,True,2,0.8585,True,2,0.5422,confidence_degraded
yolov8n.pt,0.15,video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_quality_weighted,24,2,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_quality_weighted,56,3,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00038_t01.27_clear,video4,clear,temporal_quality_weighted,39,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_fixed,0,2,True,1,0.8806,True,1,0.8745,no_change
yolov8n.pt,0.15,video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_fixed,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_fixed,56,7,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_quality_weighted,0,2,True,1,0.8806,True,1,0.8737,no_change
yolov8n.pt,0.15,video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_quality_weighted,24,1,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00076_t02.53_clear,video4,clear,temporal_quality_weighted,56,7,False,0,,False,0,,still_missed
yolov8n.pt,0.15,video4/v04_20-21_f00114_t03.80_moderate_blur,video4,moderate_blur,temporal_fixed,0,3,True,1,0.8419,True,1,0.8429,no_change
yolov8n.pt,0.15,video4/v04_20-21_f00114_t03.80_moderate_blur,video4,moderate_blur,temporal_fixed,16,1,False,0,,False,0,,still_missed
