model,confidence_threshold,video,frame,filter,n_detections,mean_confidence,preprocess_ms,yolo_ms,total_ms,annotated
yolov8n.pt,0.15,video2,v02_20-18_f00453_t15.10_severe_blur.png,raw,0,0.0,0.0,35.903,35.903,True
yolov8n.pt,0.15,video2,v02_20-18_f00453_t15.10_severe_blur.png,gaussian,0,0.0,0.511,35.201,35.712,True
yolov8n.pt,0.15,video2,v02_20-18_f00453_t15.10_severe_blur.png,bilateral,0,0.0,8.553,38.765,47.318,True
yolov8n.pt,0.15,video2,v02_20-18_f00453_t15.10_severe_blur.png,wiener_denoise,0,0.0,31.952,44.248,76.2,True
yolov8n.pt,0.15,video2,v02_20-18_f00453_t15.10_severe_blur.png,wiener_deconv,0,0.0,52.178,44.957,97.135,True
yolov8n.pt,0.15,video2,v02_20-18_f00453_t15.10_severe_blur.png,clahe,0,0.0,3.162,44.082,47.244,True
yolov8n.pt,0.15,video2,v02_20-18_f00567_t18.90_moderate_blur.png,raw,1,0.2307,0.0,50.403,50.404,True
yolov8n.pt,0.15,video2,v02_20-18_f00567_t18.90_moderate_blur.png,gaussian,0,0.0,0.499,52.558,53.057,True
yolov8n.pt,0.15,video2,v02_20-18_f00567_t18.90_moderate_blur.png,bilateral,0,0.0,8.544,48.451,56.995,True
yolov8n.pt,0.15,video2,v02_20-18_f00567_t18.90_moderate_blur.png,wiener_denoise,0,0.0,41.78,56.569,98.349,True
yolov8n.pt,0.15,video2,v02_20-18_f00567_t18.90_moderate_blur.png,wiener_deconv,0,0.0,56.827,67.451,124.278,True
yolov8n.pt,0.15,video2,v02_20-18_f00567_t18.90_moderate_blur.png,clahe,1,0.3875,3.688,78.982,82.67,True
yolov8n.pt,0.15,video2,v02_20-18_f00680_t22.67_severe_blur.png,raw,0,0.0,0.001,54.638,54.64,True
yolov8n.pt,0.15,video2,v02_20-18_f00680_t22.67_severe_blur.png,gaussian,0,0.0,0.497,62.441,62.938,True
yolov8n.pt,0.15,video2,v02_20-18_f00680_t22.67_severe_blur.png,bilateral,0,0.0,8.843,46.896,55.739,True
yolov8n.pt,0.15,video2,v02_20-18_f00680_t22.67_severe_blur.png,wiener_denoise,0,0.0,42.991,47.822,90.814,True
yolov8n.pt,0.15,video2,v02_20-18_f00680_t22.67_severe_blur.png,wiener_deconv,0,0.0,56.57,49.269,105.839,True
yolov8n.pt,0.15,video2,v02_20-18_f00680_t22.67_severe_blur.png,clahe,1,0.1789,3.772,58.156,61.928,True
yolov8n.pt,0.15,video2,v02_20-18_f00718_t23.93_clear.png,raw,0,0.0,0.0,48.379,48.379,True
yolov8n.pt,0.15,video2,v02_20-18_f00718_t23.93_clear.png,gaussian,1,0.1721,0.5,50.352,50.852,True
yolov8n.pt,0.15,video2,v02_20-18_f00718_t23.93_clear.png,bilateral,0,0.0,9.235,49.086,58.321,True
yolov8n.pt,0.15,video2,v02_20-18_f00718_t23.93_clear.png,wiener_denoise,1,0.2084,46.468,46.126,92.595,True
yolov8n.pt,0.15,video2,v02_20-18_f00718_t23.93_clear.png,wiener_deconv,0,0.0,60.996,46.976,107.971,True
yolov8n.pt,0.15,video2,v02_20-18_f00718_t23.93_clear.png,clahe,2,0.3516,4.326,58.9,63.227,True
yolov8n.pt,0.15,video2,v02_20-18_f00794_t26.47_moderate_blur.png,raw,0,0.0,0.0,46.932,46.933,True
yolov8n.pt,0.15,video2,v02_20-18_f00794_t26.47_moderate_blur.png,gaussian,0,0.0,0.556,52.922,53.478,True
yolov8n.pt,0.15,video2,v02_20-18_f00794_t26.47_moderate_blur.png,bilateral,0,0.0,8.977,52.948,61.926,True
yolov8n.pt,0.15,video2,v02_20-18_f00794_t26.47_moderate_blur.png,wiener_denoise,0,0.0,50.283,48.812,99.094,True
yolov8n.pt,0.15,video2,v02_20-18_f00794_t26.47_moderate_blur.png,wiener_deconv,1,0.2987,61.099,47.754,108.853,True
yolov8n.pt,0.15,video2,v02_20-18_f00794_t26.47_moderate_blur.png,clahe,0,0.0,2.749,45.333,48.082,True
yolov8n.pt,0.15,video3,v03_20-20_f00000_t00.00_clear.png,raw,2,0.4898,0.002,45.536,45.538,True
yolov8n.pt,0.15,video3,v03_20-20_f00000_t00.00_clear.png,gaussian,1,0.7945,0.539,62.213,62.753,True
yolov8n.pt,0.15,video3,v03_20-20_f00000_t00.00_clear.png,bilateral,1,0.711,10.277,45.799,56.076,True
yolov8n.pt,0.15,video3,v03_20-20_f00000_t00.00_clear.png,wiener_denoise,1,0.7697,37.276,43.86,81.136,True
yolov8n.pt,0.15,video3,v03_20-20_f00000_t00.00_clear.png,wiener_deconv,0,0.0,60.43,48.477,108.907,True
yolov8n.pt,0.15,video3,v03_20-20_f00000_t00.00_clear.png,clahe,1,0.7402,2.894,44.056,46.951,True
yolov8n.pt,0.15,video3,v03_20-20_f00016_t00.53_clear.png,raw,0,0.0,0.0,46.097,46.097,True
yolov8n.pt,0.15,video3,v03_20-20_f00016_t00.53_clear.png,gaussian,1,0.1941,0.51,49.787,50.296,True
yolov8n.pt,0.15,video3,v03_20-20_f00016_t00.53_clear.png,bilateral,1,0.1548,9.022,49.146,58.168,True
yolov8n.pt,0.15,video3,v03_20-20_f00016_t00.53_clear.png,wiener_denoise,0,0.0,35.663,57.654,93.317,True
yolov8n.pt,0.15,video3,v03_20-20_f00016_t00.53_clear.png,wiener_deconv,0,0.0,49.634,51.596,101.231,True
yolov8n.pt,0.15,video3,v03_20-20_f00016_t00.53_clear.png,clahe,0,0.0,2.602,43.679,46.28,True
yolov8n.pt,0.15,video3,v03_20-20_f00048_t01.60_moderate_blur.png,raw,0,0.0,0.0,47.902,47.903,True
yolov8n.pt,0.15,video3,v03_20-20_f00048_t01.60_moderate_blur.png,gaussian,0,0.0,0.54,46.572,47.112,True
yolov8n.pt,0.15,video3,v03_20-20_f00048_t01.60_moderate_blur.png,bilateral,0,0.0,9.872,47.132,57.004,True
yolov8n.pt,0.15,video3,v03_20-20_f00048_t01.60_moderate_blur.png,wiener_denoise,0,0.0,47.715,43.861,91.577,True
yolov8n.pt,0.15,video3,v03_20-20_f00048_t01.60_moderate_blur.png,wiener_deconv,0,0.0,73.513,54.19,127.703,True
yolov8n.pt,0.15,video3,v03_20-20_f00048_t01.60_moderate_blur.png,clahe,0,0.0,2.367,47.725,50.092,True
yolov8n.pt,0.15,video3,v03_20-20_f00064_t02.13_clear.png,raw,0,0.0,0.002,52.876,52.878,True
yolov8n.pt,0.15,video3,v03_20-20_f00064_t02.13_clear.png,gaussian,0,0.0,0.576,49.664,50.24,True
yolov8n.pt,0.15,video3,v03_20-20_f00064_t02.13_clear.png,bilateral,0,0.0,8.484,51.695,60.18,True
yolov8n.pt,0.15,video3,v03_20-20_f00064_t02.13_clear.png,wiener_denoise,0,0.0,32.391,43.439,75.83,True
yolov8n.pt,0.15,video3,v03_20-20_f00064_t02.13_clear.png,wiener_deconv,1,0.5787,53.346,49.739,103.085,True
yolov8n.pt,0.15,video3,v03_20-20_f00064_t02.13_clear.png,clahe,0,0.0,2.484,49.897,52.381,True
yolov8n.pt,0.15,video3,v03_20-20_f00080_t02.67_moderate_blur.png,raw,0,0.0,0.0,54.282,54.282,True
yolov8n.pt,0.15,video3,v03_20-20_f00080_t02.67_moderate_blur.png,gaussian,0,0.0,0.544,46.669,47.213,True
yolov8n.pt,0.15,video3,v03_20-20_f00080_t02.67_moderate_blur.png,bilateral,0,0.0,8.645,44.583,53.228,True
yolov8n.pt,0.15,video3,v03_20-20_f00080_t02.67_moderate_blur.png,wiener_denoise,0,0.0,40.339,55.501,95.839,True
yolov8n.pt,0.15,video3,v03_20-20_f00080_t02.67_moderate_blur.png,wiener_deconv,0,0.0,55.777,53.316,109.093,True
yolov8n.pt,0.15,video3,v03_20-20_f00080_t02.67_moderate_blur.png,clahe,0,0.0,2.876,48.04,50.916,True
yolov8n.pt,0.15,video3,v03_20-20_f00097_t03.23_clear.png,raw,2,0.4629,0.0,54.849,54.849,True
yolov8n.pt,0.15,video3,v03_20-20_f00097_t03.23_clear.png,gaussian,1,0.5808,0.57,57.687,58.257,True
yolov8n.pt,0.15,video3,v03_20-20_f00097_t03.23_clear.png,bilateral,1,0.4047,8.503,47.232,55.735,True
yolov8n.pt,0.15,video3,v03_20-20_f00097_t03.23_clear.png,wiener_denoise,1,0.5679,32.554,50.213,82.767,True
yolov8n.pt,0.15,video3,v03_20-20_f00097_t03.23_clear.png,wiener_deconv,1,0.3025,50.336,49.386,99.722,True
yolov8n.pt,0.15,video3,v03_20-20_f00097_t03.23_clear.png,clahe,2,0.7069,2.961,51.065,54.026,True
yolov8n.pt,0.15,video3,v03_20-20_f00113_t03.77_severe_blur.png,raw,0,0.0,0.0,46.937,46.937,True
yolov8n.pt,0.15,video3,v03_20-20_f00113_t03.77_severe_blur.png,gaussian,0,0.0,0.528,44.385,44.912,True
yolov8n.pt,0.15,video3,v03_20-20_f00113_t03.77_severe_blur.png,bilateral,0,0.0,8.473,41.412,49.885,True
yolov8n.pt,0.15,video3,v03_20-20_f00113_t03.77_severe_blur.png,wiener_denoise,0,0.0,38.869,47.555,86.424,True
yolov8n.pt,0.15,video3,v03_20-20_f00113_t03.77_severe_blur.png,wiener_deconv,1,0.4053,53.468,48.477,101.945,True
yolov8n.pt,0.15,video3,v03_20-20_f00113_t03.77_severe_blur.png,clahe,0,0.0,2.821,48.571,51.392,True
yolov8n.pt,0.15,video3,v03_20-20_f00145_t04.83_moderate_blur.png,raw,0,0.0,0.011,49.082,49.093,True
yolov8n.pt,0.15,video3,v03_20-20_f00145_t04.83_moderate_blur.png,gaussian,0,0.0,0.514,47.13,47.644,True
yolov8n.pt,0.15,video3,v03_20-20_f00145_t04.83_moderate_blur.png,bilateral,0,0.0,8.544,43.269,51.813,True
yolov8n.pt,0.15,video3,v03_20-20_f00145_t04.83_moderate_blur.png,wiener_denoise,0,0.0,48.306,49.533,97.84,True
yolov8n.pt,0.15,video3,v03_20-20_f00145_t04.83_moderate_blur.png,wiener_deconv,1,0.3341,59.661,47.997,107.658,True
yolov8n.pt,0.15,video3,v03_20-20_f00145_t04.83_moderate_blur.png,clahe,0,0.0,2.441,40.048,42.49,True
yolov8n.pt,0.15,video3,v03_20-20_f00161_t05.37_moderate_blur.png,raw,0,0.0,0.0,37.368,37.368,True
yolov8n.pt,0.15,video3,v03_20-20_f00161_t05.37_moderate_blur.png,gaussian,0,0.0,0.505,44.469,44.974,True
yolov8n.pt,0.15,video3,v03_20-20_f00161_t05.37_moderate_blur.png,bilateral,0,0.0,8.649,53.028,61.678,True
yolov8n.pt,0.15,video3,v03_20-20_f00161_t05.37_moderate_blur.png,wiener_denoise,0,0.0,61.735,55.207,116.942,True
yolov8n.pt,0.15,video3,v03_20-20_f00161_t05.37_moderate_blur.png,wiener_deconv,2,0.254,55.328,52.587,107.915,True
yolov8n.pt,0.15,video3,v03_20-20_f00161_t05.37_moderate_blur.png,clahe,0,0.0,2.591,53.44,56.031,True
yolov8n.pt,0.15,video3,v03_20-20_f00177_t05.90_moderate_blur.png,raw,0,0.0,0.0,49.907,49.907,True
yolov8n.pt,0.15,video3,v03_20-20_f00177_t05.90_moderate_blur.png,gaussian,0,0.0,0.498,44.602,45.1,True
yolov8n.pt,0.15,video3,v03_20-20_f00177_t05.90_moderate_blur.png,bilateral,0,0.0,8.601,51.715,60.317,True
yolov8n.pt,0.15,video3,v03_20-20_f00177_t05.90_moderate_blur.png,wiener_denoise,0,0.0,46.112,52.922,99.033,True
yolov8n.pt,0.15,video3,v03_20-20_f00177_t05.90_moderate_blur.png,wiener_deconv,1,0.3167,53.576,41.614,95.19,True
yolov8n.pt,0.15,video3,v03_20-20_f00177_t05.90_moderate_blur.png,clahe,0,0.0,2.219,40.858,43.077,True
yolov8n.pt,0.15,video3,v03_20-20_f00210_t07.00_severe_blur.png,raw,0,0.0,0.001,41.044,41.045,True
yolov8n.pt,0.15,video3,v03_20-20_f00210_t07.00_severe_blur.png,gaussian,0,0.0,0.501,38.19,38.692,True
yolov8n.pt,0.15,video3,v03_20-20_f00210_t07.00_severe_blur.png,bilateral,0,0.0,8.657,50.347,59.004,True
yolov8n.pt,0.15,video3,v03_20-20_f00210_t07.00_severe_blur.png,wiener_denoise,0,0.0,37.598,43.784,81.383,True
yolov8n.pt,0.15,video3,v03_20-20_f00210_t07.00_severe_blur.png,wiener_deconv,1,0.2294,49.38,51.289,100.67,True
yolov8n.pt,0.15,video3,v03_20-20_f00210_t07.00_severe_blur.png,clahe,0,0.0,2.575,53.514,56.089,True
yolov8n.pt,0.15,video3,v03_20-20_f00242_t08.07_severe_blur.png,raw,0,0.0,0.0,46.45,46.45,True
yolov8n.pt,0.15,video3,v03_20-20_f00242_t08.07_severe_blur.png,gaussian,0,0.0,0.51,44.265,44.775,True
