video,frame,filter,n_detections,mean_confidence,preprocess_ms,yolo_ms,total_ms,annotated
video2,v02_20-18_f00037_t01.23_moderate_blur.png,clahe,0,0.0,3.9,19.671,23.571,True
video2,v02_20-18_f00113_t03.77_clear.png,raw,0,0.0,0.0,16.668,16.668,True
video2,v02_20-18_f00113_t03.77_clear.png,gaussian,0,0.0,0.792,14.509,15.3,True
video2,v02_20-18_f00113_t03.77_clear.png,bilateral,0,0.0,8.972,16.721,25.693,True
video2,v02_20-18_f00113_t03.77_clear.png,wiener_denoise,0,0.0,120.208,26.708,146.916,True
video2,v02_20-18_f00113_t03.77_clear.png,wiener_deconv,0,0.0,68.804,28.722,97.526,True
video2,v02_20-18_f00113_t03.77_clear.png,clahe,0,0.0,3.656,20.617,24.274,True
video2,v02_20-18_f00151_t05.03_moderate_blur.png,raw,0,0.0,0.0,20.879,20.88,True
video2,v02_20-18_f00151_t05.03_moderate_blur.png,gaussian,0,0.0,0.635,17.166,17.801,True
video2,v02_20-18_f00151_t05.03_moderate_blur.png,bilateral,0,0.0,8.88,18.145,27.025,True
video2,v02_20-18_f00151_t05.03_moderate_blur.png,wiener_denoise,0,0.0,54.695,30.725,85.42,True
video2,v02_20-18_f00151_t05.03_moderate_blur.png,wiener_deconv,0,0.0,83.263,30.57,113.833,True
video2,v02_20-18_f00151_t05.03_moderate_blur.png,clahe,0,0.0,6.438,35.549,41.987,True
video2,v02_20-18_f00189_t06.30_severe_blur.png,raw,0,0.0,0.0,38.844,38.844,True
video2,v02_20-18_f00189_t06.30_severe_blur.png,gaussian,0,0.0,0.552,21.595,22.147,True
video2,v02_20-18_f00189_t06.30_severe_blur.png,bilateral,0,0.0,12.593,26.431,39.023,True
video2,v02_20-18_f00189_t06.30_severe_blur.png,wiener_denoise,0,0.0,63.654,27.071,90.725,True
video2,v02_20-18_f00189_t06.30_severe_blur.png,wiener_deconv,0,0.0,76.694,34.367,111.061,True
video2,v02_20-18_f00189_t06.30_severe_blur.png,clahe,0,0.0,4.47,18.579,23.049,True
video2,v02_20-18_f00264_t08.80_moderate_blur.png,raw,0,0.0,0.0,40.98,40.98,True
video2,v02_20-18_f00264_t08.80_moderate_blur.png,gaussian,0,0.0,0.535,34.046,34.581,True
video2,v02_20-18_f00264_t08.80_moderate_blur.png,bilateral,0,0.0,15.391,17.939,33.329,True
video2,v02_20-18_f00264_t08.80_moderate_blur.png,wiener_denoise,0,0.0,63.168,28.712,91.879,True
video2,v02_20-18_f00264_t08.80_moderate_blur.png,wiener_deconv,0,0.0,83.495,21.391,104.886,True
video2,v02_20-18_f00264_t08.80_moderate_blur.png,clahe,0,0.0,3.067,19.766,22.833,True
video2,v02_20-18_f00340_t11.33_clear.png,raw,1,0.4917,0.001,21.516,21.517,True
video2,v02_20-18_f00340_t11.33_clear.png,gaussian,1,0.4374,0.728,16.87,17.598,True
video2,v02_20-18_f00340_t11.33_clear.png,bilateral,1,0.3036,9.111,17.891,27.002,True
video2,v02_20-18_f00340_t11.33_clear.png,wiener_denoise,1,0.3903,45.195,18.529,63.724,True
video2,v02_20-18_f00340_t11.33_clear.png,wiener_deconv,0,0.0,63.834,24.754,88.588,True
video2,v02_20-18_f00340_t11.33_clear.png,clahe,2,0.3277,3.133,25.878,29.011,True
video2,v02_20-18_f00453_t15.10_severe_blur.png,raw,0,0.0,0.0,18.512,18.512,True
video2,v02_20-18_f00453_t15.10_severe_blur.png,gaussian,0,0.0,0.742,13.723,14.465,True
video2,v02_20-18_f00453_t15.10_severe_blur.png,bilateral,0,0.0,10.249,14.823,25.073,True
video2,v02_20-18_f00453_t15.10_severe_blur.png,wiener_denoise,0,0.0,43.864,15.939,59.802,True
video2,v02_20-18_f00453_t15.10_severe_blur.png,wiener_deconv,0,0.0,80.034,17.063,97.097,True
video2,v02_20-18_f00453_t15.10_severe_blur.png,clahe,0,0.0,3.525,16.879,20.404,True
video2,v02_20-18_f00567_t18.90_moderate_blur.png,raw,0,0.0,0.0,20.603,20.603,True
video2,v02_20-18_f00567_t18.90_moderate_blur.png,gaussian,0,0.0,0.604,14.927,15.532,True
video2,v02_20-18_f00567_t18.90_moderate_blur.png,bilateral,0,0.0,9.711,17.762,27.473,True
video2,v02_20-18_f00567_t18.90_moderate_blur.png,wiener_denoise,0,0.0,50.54,23.399,73.939,True
video2,v02_20-18_f00567_t18.90_moderate_blur.png,wiener_deconv,0,0.0,74.42,24.71,99.13,True
video2,v02_20-18_f00567_t18.90_moderate_blur.png,clahe,0,0.0,4.09,14.95,19.04,True
video2,v02_20-18_f00680_t22.67_severe_blur.png,raw,0,0.0,0.0,17.469,17.47,True
video2,v02_20-18_f00680_t22.67_severe_blur.png,gaussian,0,0.0,0.733,18.422,19.156,True
video2,v02_20-18_f00680_t22.67_severe_blur.png,bilateral,0,0.0,9.251,15.225,24.477,True
video2,v02_20-18_f00680_t22.67_severe_blur.png,wiener_denoise,0,0.0,41.336,17.324,58.661,True
video2,v02_20-18_f00680_t22.67_severe_blur.png,wiener_deconv,0,0.0,59.027,18.411,77.438,True
video2,v02_20-18_f00680_t22.67_severe_blur.png,clahe,1,0.1526,5.418,18.612,24.029,True
video2,v02_20-18_f00718_t23.93_clear.png,raw,1,0.6877,0.0,26.335,26.336,True
video2,v02_20-18_f00718_t23.93_clear.png,gaussian,1,0.6014,0.578,16.952,17.53,True
video2,v02_20-18_f00718_t23.93_clear.png,bilateral,1,0.3825,9.676,16.869,26.544,True
video2,v02_20-18_f00718_t23.93_clear.png,wiener_denoise,1,0.5927,46.361,29.519,75.88,True
video2,v02_20-18_f00718_t23.93_clear.png,wiener_deconv,0,0.0,67.779,27.947,95.726,True
video2,v02_20-18_f00718_t23.93_clear.png,clahe,2,0.2869,4.487,20.111,24.598,True
video2,v02_20-18_f00794_t26.47_moderate_blur.png,raw,1,0.3634,0.0,17.207,17.207,True
video2,v02_20-18_f00794_t26.47_moderate_blur.png,gaussian,1,0.2146,0.562,19.615,20.177,True
video2,v02_20-18_f00794_t26.47_moderate_blur.png,bilateral,0,0.0,9.521,18.106,27.628,True
video2,v02_20-18_f00794_t26.47_moderate_blur.png,wiener_denoise,1,0.1657,50.037,27.761,77.798,True
video2,v02_20-18_f00794_t26.47_moderate_blur.png,wiener_deconv,0,0.0,74.367,27.455,101.821,True
video2,v02_20-18_f00794_t26.47_moderate_blur.png,clahe,1,0.2457,3.003,16.667,19.67,True
video3,v03_20-20_f00000_t00.00_clear.png,raw,4,0.5296,0.0,19.634,19.635,True
video3,v03_20-20_f00000_t00.00_clear.png,gaussian,5,0.4319,0.859,24.513,25.372,True
video3,v03_20-20_f00000_t00.00_clear.png,bilateral,4,0.4414,10.026,26.09,36.116,True
video3,v03_20-20_f00000_t00.00_clear.png,wiener_denoise,5,0.445,43.995,37.958,81.954,True
video3,v03_20-20_f00000_t00.00_clear.png,wiener_deconv,0,0.0,63.99,23.605,87.595,True
video3,v03_20-20_f00000_t00.00_clear.png,clahe,3,0.4653,5.674,23.991,29.666,True
