frame_id,quality_group,gt_index,class_id,class_name,raw_detected,raw_confidence,gaussian_detected,gaussian_confidence,bilateral_detected,bilateral_confidence,wiener_denoise_detected,wiener_denoise_confidence,wiener_deconv_detected,wiener_deconv_confidence,clahe_detected,clahe_confidence,temporal_fixed_detected,temporal_fixed_confidence,temporal_quality_weighted_detected,temporal_quality_weighted_confidence,any_method_detected,num_methods_detecting,detected_by,unique_rescuer
video3/v03_20-20_f00080_t02.67_moderate_blur,moderate_blur,1,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00080_t02.67_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00080_t02.67_moderate_blur,moderate_blur,3,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00080_t02.67_moderate_blur,moderate_blur,4,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00080_t02.67_moderate_blur,moderate_blur,5,60,dining table,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00097_t03.23_clear,clear,0,0,person,True,0.788,True,0.7512,True,0.6852,True,0.6996,False,,True,0.8211,True,0.7734,True,0.7421,True,7,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed|temporal_quality_weighted,
video3/v03_20-20_f00097_t03.23_clear,clear,1,24,backpack,True,0.6589,True,0.5322,True,0.512,True,0.5603,False,,True,0.6437,True,0.5797,True,0.5526,True,7,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed|temporal_quality_weighted,
video3/v03_20-20_f00097_t03.23_clear,clear,2,56,chair,True,0.6391,True,0.3675,True,0.2182,True,0.2613,False,,True,0.73,True,0.6027,True,0.5921,True,7,raw|gaussian|bilateral|wiener_denoise|clahe|temporal_fixed|temporal_quality_weighted,
video3/v03_20-20_f00097_t03.23_clear,clear,3,0,person,True,0.3297,True,0.3945,False,,True,0.261,False,,True,0.3872,False,,False,,True,4,raw|gaussian|wiener_denoise|clahe,
video3/v03_20-20_f00097_t03.23_clear,clear,4,0,person,True,0.2321,False,,True,0.2272,False,,False,,True,0.1876,False,,False,,True,3,raw|bilateral|clahe,
video3/v03_20-20_f00097_t03.23_clear,clear,5,39,bottle,False,,False,,False,,False,,False,,True,0.456,False,,False,,True,1,clahe,clahe
video3/v03_20-20_f00113_t03.77_severe_blur,severe_blur,0,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00113_t03.77_severe_blur,severe_blur,1,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00113_t03.77_severe_blur,severe_blur,2,24,backpack,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00113_t03.77_severe_blur,severe_blur,3,39,bottle,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00113_t03.77_severe_blur,severe_blur,4,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00113_t03.77_severe_blur,severe_blur,5,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00145_t04.83_moderate_blur,moderate_blur,0,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00145_t04.83_moderate_blur,moderate_blur,1,0,person,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00145_t04.83_moderate_blur,moderate_blur,2,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00145_t04.83_moderate_blur,moderate_blur,3,56,chair,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
video3/v03_20-20_f00145_t04.83_moderate_blur,moderate_blur,4,24,backpack,False,,False,,False,,False,,False,,False,,False,,False,,False,0,,
